country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","09-01-2025 18:00:00",18.501793,73.927532,OZONE,6,46,24
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","09-01-2025 18:00:00",31.321907,75.578914,OZONE,9,57,33
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","09-01-2025 18:00:00","30.736056 ",76.209694,OZONE,11,20,12
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","09-01-2025 18:00:00",30.649961,76.331442,OZONE,33,44,37
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","09-01-2025 18:00:00",20.94185,86.11510,OZONE,25,172,150
India,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB","09-01-2025 18:00:00",24.8207389,93.9423085,CO,6,6,6
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","09-01-2025 18:00:00",26.470859,74.646594,OZONE,15,27,24
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","09-01-2025 18:00:00",28.296139,74.961696,OZONE,1,145,99
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","09-01-2025 18:00:00",18.616318,73.765797,OZONE,13,30,24
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","09-01-2025 18:00:00",26.902909,75.836858,OZONE,8,73,62
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","09-01-2025 18:00:00",13.0664,"80.2112 ",SO2,5,21,11
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","09-01-2025 18:00:00",26.358805,73.047444,OZONE,5,123,93
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","09-01-2025 18:00:00",26.253384,72.976571,OZONE,1,152,109
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","09-01-2025 18:00:00",25.164090,75.858137,OZONE,1,80,53
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","09-01-2025 18:00:00",25.196024,75.855668,OZONE,3,104,76
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","09-01-2025 18:00:00",29.931624,73.864511,OZONE,2,67,39
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","09-01-2025 18:00:00",24.588397,76.172782,OZONE,9,83,57
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","09-01-2025 18:00:00",26.295810,73.082283,OZONE,2,69,49
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB","09-01-2025 18:00:00",12.8777316,80.0834807,OZONE,6,6,6
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB","09-01-2025 18:00:00",12.952707,79.30394,OZONE,1,1,1
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","09-01-2025 18:00:00",17.429398,78.569354,OZONE,25,37,28
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB","09-01-2025 18:00:00",10.830158,78.691849,CO,12,12,12
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB","09-01-2025 18:00:00",8.728442,77.6962,OZONE,6,7,6
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","09-01-2025 18:00:00",13.4127,80.1081,SO2,1,52,17
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB","09-01-2025 18:00:00",17.470431,78.566959,OZONE,21,45,24
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","09-01-2025 18:00:00",17.5316895,78.218939,OZONE,7,48,33
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","09-01-2025 18:00:00",12.9533,80.2357,OZONE,9,17,11
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB","09-01-2025 18:00:00",10.7654824,79.1389968,OZONE,4,15,8
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","09-01-2025 18:00:00",17.393559,78.339194,OZONE,1,68,38
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","09-01-2025 18:00:00",17.417094,78.457437,OZONE,12,60,56
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","09-01-2025 18:00:00",27.19412,77.96237,OZONE,1,99,25
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","09-01-2025 18:00:00",27.19862,77.92066,OZONE,1,12,7
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","09-01-2025 18:00:00",28.359581,79.414455,NO2,2,3,2
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","09-01-2025 18:00:00",13.204880,79.097889,OZONE,24,38,28
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","09-01-2025 18:00:00",30.719859,76.738637,OZONE,3,65,39
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","09-01-2025 18:00:00",25.5626095,84.663264,OZONE,2,67,53
