Sl. No.,State,Name of Project,Unit No,Total Capacity,Date of Commissioning,Category,SO2 Norms (mg/Nm3),Average SO2 (mg/Nm3) - 2023-24,Note of Average SO2 (mg/Nm3) - 2023-24,Average SO2 (mg/Nm3) - 2024-25,Note of Average SO2 (mg/Nm3) - 2024-25
445,Uttar Pradesh,UNCHAHAR TPS,3,210,27-01-1999,C,600,1173,NA,1122,NA
446,Uttar Pradesh,UNCHAHAR TPS,4,210,22-10-1999,C,600,1157,NA,1138,NA
447,Uttar Pradesh,UNCHAHAR TPS,5,210,28-09-2006,C,600,1176,NA,1141,NA
448,West Bengal,BAKRESWAR TPS,1,210,07-06-2009,C,600,710,NA,742,NA
449,West Bengal,BAKRESWAR TPS,2,210,17-07-1999,C,600,649,NA,757,NA
450,West Bengal,BAKRESWAR TPS,3,210,20-05-2000,C,600,720,NA,644,NA
451,West Bengal,BAKRESWAR TPS,4,210,21-03-2001,C,600,835,NA,772,NA
452,West Bengal,BAKRESWAR TPS,5,210,24-12-2007,C,600,669,NA,682,NA
453,West Bengal,BANDEL TPS,2,60,01-10-1965,C,600,536,NA,757,NA
454,West Bengal,BANDEL TPS,5,210,08-10-1982,C,600,938,NA,938,NA
455,West Bengal,BUDGE BUDGE TPS,1,250,16-09-1997,C,600,871,NA,1025,NA
456,West Bengal,BUDGE BUDGE TPS,2,250,06-03-1999,C,600,960,NA,1032,NA
457,West Bengal,BUDGE BUDGE TPS,3,250,29-09-2009,C,600,1137,NA,1203,NA
458,West Bengal,D.P.L. TPS,7,300,24-11-2007,B,600,853,NA,843,NA
459,West Bengal,D.P.L. TPS,8,250,31-03-2014,B,600,872,NA,859,NA
460,West Bengal,DURGAPUR STEEL TPS,2,500,23-03-2012,B,200,1051,NA,684,NA
461,West Bengal,FARAKKA STPS,1,200,01-01-1986,C,600,900,NA,1036,NA
462,West Bengal,FARAKKA STPS,2,200,24-12-1986,C,600,947,NA,1033,NA
463,West Bengal,FARAKKA STPS,3,200,06-08-1987,C,600,927,NA,1028,NA
464,West Bengal,FARAKKA STPS,4,500,25-09-1992,C,200,893,NA,1082,NA
465,West Bengal,FARAKKA STPS,5,500,16-02-1994,C,200,904,NA,1044,NA
466,West Bengal,FARAKKA STPS,6,500,07-03-2011,C,200,739,NA,986,NA
467,West Bengal,HALDIA TPP,1,300,14-01-2015,B,600,NA,*,NA,*
468,West Bengal,HALDIA TPP,2,300,16-02-2015,B,600,NA,*,NA,*
469,West Bengal,Hiranmaye TPP,1,150,07-06-2017,B,100,619,NA,621,NA
470,West Bengal,Hiranmaye TPP,2,150,31-12-2017,B,100,671,NA,609,NA
471,West Bengal,KOLAGHAT TPS,3,210,16-12-1985,C,600,948,NA,888,NA
472,West Bengal,KOLAGHAT TPS,4,210,24-01-1984,C,600,925,NA,831,NA
473,West Bengal,KOLAGHAT TPS,5,210,28-12-1993,C,600,927,NA,1012,NA
474,West Bengal,KOLAGHAT TPS,6,210,17-03-1991,C,600,989,NA,822,NA
475,West Bengal,MEJIA TPS,1,210,01-03-1996,C,600,704,NA,560,NA
476,West Bengal,MEJIA TPS,2,210,24-03-1997,C,600,549,NA,625,NA
477,West Bengal,MEJIA TPS,3,210,25-03-1998,C,600,649,NA,644,NA
478,West Bengal,MEJIA TPS,4,210,12-10-2004,C,600,523,NA,533,NA
479,West Bengal,MEJIA TPS,5,250,01-10-2007,C,600,633,NA,521,NA
480,West Bengal,MEJIA TPS,6,250,26-03-2011,C,600,625,NA,524,NA
481,West Bengal,RAGHUNATHPUR TPP,2,600,18-01-2016,C,200,627,NA,501,NA
482,West Bengal,SAGARDIGHI TPS,1,300,20-07-2008,C,600,709,NA,844,NA
483,West Bengal,SAGARDIGHI TPS,2,300,21-12-2007,C,600,721,NA,712,NA
484,West Bengal,SAGARDIGHI TPS,3,500,14-12-2015,C,200,631,NA,786,NA
485,West Bengal,SAGARDIGHI TPS,4,500,15-12-2016,C,200,813,NA,878,NA
486,West Bengal,SANTALDIH TPS,5,250,07-11-2007,C,600,1337,NA,1266,NA
487,West Bengal,SANTALDIH TPS,6,250,29-06-2011,C,600,1269,NA,1331,NA
488,West Bengal,SOUTHERN REPL. TPS,1,67.5,10-04-1991,A,600,870,NA,908,NA
489,West Bengal,SOUTHERN REPL. TPS,2,67.5,12-08-1990,A,600,870,NA,908,NA
490,West Bengal,TITAGARH TPS,1,60,17-03-1985,A,600,NA,*,NA,*
491,West Bengal,TITAGARH TPS,2,60,12-12-1982,A,600,NA,*,NA,*
492,West Bengal,TITAGARH TPS,3,60,26-04-1983,A,600,NA,*,NA,*
493,West Bengal,TITAGARH TPS,4,60,16-01-1984,A,600,NA,*,NA,*
