state,plant_name,unit_no,total_capacity_mw,commissioning_date,category,so2_norms_mg_nm3,prior_avg_so2_mg_nm3,target_avg_so2_mg_nm3
Uttar Pradesh,PARICHHA TPS,6,250.0,2013-03-11,C,600,414.0,560.0
Uttar Pradesh,PRAYAGRAJ TPP,1,660.0,2015-12-25,C,200,784.0,595.0
Uttar Pradesh,PRAYAGRAJ TPP,2,660.0,2016-09-06,C,200,592.0,613.0
Uttar Pradesh,PRAYAGRAJ TPP,3,660.0,2017-05-22,C,100,809.0,591.0
Uttar Pradesh,RIHAND STPS,1,500.0,1988-03-31,C,200,921.0,944.0
Uttar Pradesh,RIHAND STPS,2,500.0,1989-07-05,C,200,957.0,958.0
Uttar Pradesh,RIHAND STPS,3,500.0,2005-01-31,C,200,890.0,911.0
Uttar Pradesh,RIHAND STPS,4,500.0,2005-09-24,C,200,910.0,923.0
Uttar Pradesh,RIHAND STPS,5,500.0,2012-05-25,C,200,961.0,1015.0
Uttar Pradesh,RIHAND STPS,6,500.0,2013-10-17,C,200,975.0,1039.0
Uttar Pradesh,ROSA TPP Ph-I,1,300.0,2010-02-10,C,600,1158.0,1032.0
Uttar Pradesh,ROSA TPP Ph-I,2,300.0,2010-06-26,C,600,1170.0,1057.0
Uttar Pradesh,SINGRAULI STPS,1,200.0,1982-02-14,C,600,778.0,788.0
Uttar Pradesh,SINGRAULI STPS,2,200.0,1982-11-25,C,600,800.0,795.0
Uttar Pradesh,SINGRAULI STPS,3,200.0,1983-03-28,C,600,789.0,758.0
Uttar Pradesh,SINGRAULI STPS,4,200.0,1983-11-02,C,600,802.0,760.0
Uttar Pradesh,SINGRAULI STPS,5,200.0,1984-02-26,C,600,817.0,801.0
Uttar Pradesh,SINGRAULI STPS,6,500.0,1986-12-23,C,200,786.0,764.0
Uttar Pradesh,SINGRAULI STPS,7,500.0,1987-11-24,C,200,801.0,784.0
Uttar Pradesh,TANDA TPS,1,110.0,1988-03-21,C,600,816.0,834.0
Uttar Pradesh,TANDA TPS,2,110.0,1989-03-11,C,600,859.0,821.0
Uttar Pradesh,TANDA TPS,3,110.0,1990-03-28,C,600,763.0,834.0
Uttar Pradesh,TANDA TPS,4,110.0,1998-02-20,C,600,829.0,823.0
Uttar Pradesh,TANDA TPS,6,660.0,2021-03-31,C,100,856.0,998.0
Uttar Pradesh,UNCHAHAR TPS,1,210.0,1988-11-21,C,600,1188.0,1142.0
Uttar Pradesh,UNCHAHAR TPS,2,210.0,1989-03-22,C,600,1176.0,1137.0
Uttar Pradesh,UNCHAHAR TPS,3,210.0,1999-01-27,C,600,1173.0,1122.0
Uttar Pradesh,UNCHAHAR TPS,4,210.0,1999-10-22,C,600,1157.0,1138.0
Uttar Pradesh,UNCHAHAR TPS,5,210.0,2006-09-28,C,600,1176.0,1141.0
West Bengal,BAKRESWAR TPS,1,210.0,2009-06-07,C,600,710.0,742.0
West Bengal,BAKRESWAR TPS,2,210.0,1999-07-17,C,600,649.0,757.0
West Bengal,BAKRESWAR TPS,3,210.0,2000-05-20,C,600,720.0,644.0
West Bengal,BAKRESWAR TPS,4,210.0,2001-03-21,C,600,835.0,772.0
West Bengal,BAKRESWAR TPS,5,210.0,2007-12-24,C,600,669.0,682.0
West Bengal,BANDEL TPS,2,60.0,1965-10-01,C,600,536.0,757.0
West Bengal,BANDEL TPS,5,210.0,1982-10-08,C,600,938.0,938.0
West Bengal,BUDGE BUDGE TPS,1,250.0,1997-09-16,C,600,871.0,1025.0
West Bengal,BUDGE BUDGE TPS,2,250.0,1999-03-06,C,600,960.0,1032.0
West Bengal,BUDGE BUDGE TPS,3,250.0,2009-09-29,C,600,1137.0,1203.0
West Bengal,D.P.L. TPS,7,300.0,2007-11-24,B,600,853.0,843.0
West Bengal,D.P.L. TPS,8,250.0,2014-03-31,B,600,872.0,859.0
West Bengal,DURGAPUR STEEL TPS,2,500.0,2012-03-23,B,200,1051.0,684.0
West Bengal,FARAKKA STPS,1,200.0,1986-01-01,C,600,900.0,1036.0
West Bengal,FARAKKA STPS,2,200.0,1986-12-24,C,600,947.0,1033.0
West Bengal,FARAKKA STPS,3,200.0,1987-08-06,C,600,927.0,1028.0
West Bengal,FARAKKA STPS,4,500.0,1992-09-25,C,200,893.0,1082.0
West Bengal,FARAKKA STPS,5,500.0,1994-02-16,C,200,904.0,1044.0
West Bengal,FARAKKA STPS,6,500.0,2011-03-07,C,200,739.0,986.0
West Bengal,Hiranmaye TPP,1,150.0,2017-06-07,B,100,619.0,621.0
West Bengal,Hiranmaye TPP,2,150.0,2017-12-31,B,100,671.0,609.0
West Bengal,KOLAGHAT TPS,3,210.0,1985-12-16,C,600,948.0,888.0
West Bengal,KOLAGHAT TPS,4,210.0,1984-01-24,C,600,925.0,831.0
West Bengal,KOLAGHAT TPS,5,210.0,1993-12-28,C,600,927.0,1012.0
West Bengal,KOLAGHAT TPS,6,210.0,1991-03-17,C,600,989.0,822.0
West Bengal,MEJIA TPS,1,210.0,1996-03-01,C,600,704.0,560.0
West Bengal,MEJIA TPS,2,210.0,1997-03-24,C,600,549.0,625.0
West Bengal,MEJIA TPS,3,210.0,1998-03-25,C,600,649.0,644.0
West Bengal,MEJIA TPS,4,210.0,2004-10-12,C,600,523.0,533.0
West Bengal,MEJIA TPS,5,250.0,2007-10-01,C,600,633.0,521.0
West Bengal,MEJIA TPS,6,250.0,2011-03-26,C,600,625.0,524.0
West Bengal,RAGHUNATHPUR TPP,2,600.0,2016-01-18,C,200,627.0,501.0
West Bengal,SAGARDIGHI TPS,1,300.0,2008-07-20,C,600,709.0,844.0
West Bengal,SAGARDIGHI TPS,2,300.0,2007-12-21,C,600,721.0,712.0
West Bengal,SAGARDIGHI TPS,3,500.0,2015-12-14,C,200,631.0,786.0
West Bengal,SAGARDIGHI TPS,4,500.0,2016-12-15,C,200,813.0,878.0
West Bengal,SANTALDIH TPS,5,250.0,2007-11-07,C,600,1337.0,1266.0
West Bengal,SANTALDIH TPS,6,250.0,2011-06-29,C,600,1269.0,1331.0
West Bengal,SOUTHERN REPL. TPS,1,67.5,1991-04-10,A,600,870.0,908.0
West Bengal,SOUTHERN REPL. TPS,2,67.5,1990-08-12,A,600,870.0,908.0
